Franchise,Stadium,Left,Left Center,Center,Right Center,Right,Left Wall,Left Center Wall,Center Wall,Right Center Wall,Right Wall,Altitude
Angels,Angel Stadium of Anaheim,330,376,408,361,330,8,8,8,18,18,145
Astros,Minute Maid Park,315,362,435,373,326,21,21,9,7,7,21
Athletics,O.co Coliseum,330,362,400,362,330,8,8,8,8,8,0
Blue Jays,Rogers Centre,328,375,400,375,328,10,10,10,10,10,269
Braves,Turner Field,335,380,401,390,330,8,8,8,8,8,946
Brewers,Miller Park,344,370,400,374,345,8,8,8,8,8,617
Cardinals,Busch Stadium,336,375,400,375,335,8,8,8,8,8,438
Cubs,Wrigley Field,355,353,402,368,353,16,16,11,15,15,597
Diamondbacks,Chase Field,330,374,407,374,334,7.5,7.5,25,7.5,7.5,1073
Dodgers,Dodger Stadium,330,380,400,380,330,8,8,10,8,8,501
Giants,AT&T Park,335,364,404,420,307,8,8,8,25,25,9
Indians,Progressive Field,325,370,405,375,325,19,19,8,8,8,652
Mariners,Safeco Field,331,388,405,385,326,8,8,8,8,8,16
Marlins,Marlins Parik,344,386,416,392,335,10,10,16,10,10,6
Mets,Citi Field,335,371,408,378,330,8,8,8,8,8,11
Nationals,Nationals Park,332,377,409,370,335,8,8,12,8,8,6
Orioles,Oriole Park at Camden Yards,333,364,400,373,318,7,7,7,25,25,36
Padres,Petco Park,334,358,396,411,322,7.5,7.5,7.5,10,10,15
Phillies,Citizens Bank Ballpark,329,369,401,369,330,13,13,6,8,8,0
Pirates,PNC Park,325,386,400,375,320,6,6,10,21,21,725
Rangers,Globe Life Park,332,390,400,381,325,14,14,8,8,8,543
Rays,Tropicana Field,315,370,407,370,322,9.5,9.5,9.5,9.5,9.5,43
Red Sox,Fenway Park,308,334,390,379,302,37,37,8.75,5,5,17
Reds,Great American Ball Park,328,379,404,370,325,12,12,8,8,8,488
Rockies,Coors Field,347,390,415,375,350,8,8,8,14,14,5181
Royals,Kauffman Stadium,330,375,410,375,330,8,8,8,8,8,797
Tigers,Comerica Park,345,398,420,403,330,7,7,8.5,11.5,11.5,577
Twins,Target Field,339,377,404,365,328,8,8,8,23,23,827
White Sox,U.S. Cellular Field,330,377,400,372,335,8,8,8,8,8,594
Yankees,Yankee Stadium (III),318,399,408,385,314,8.5,8.5,8.5,8,8,23
