115.39,141.43,162.28,133.05,115.89,42.018,39.673,40.245,41.928,42.414
109.63,133.55,180.63,139.87,113.42,45.011,39.326,38.676,39.961,41.559
115.62,134.59,156.9,134.59,115.62,41.884,37.343,41.722,37.343,41.884
114.16,140.52,155.9,140.52,114.16,41.777,41.697,40.312,41.697,41.777
116.58,141.87,154.61,148.26,113.99,41.167,41.769,40.92,38.545,40.722
122.17,136.71,154.96,139.21,122.56,42.507,39.982,39.723,42.207,40.488
118.04,140.05,155.78,140.05,117.49,40.514,40.127,42.205,40.127,41.626
129.49,127.59,156.23,135.54,127.44,44.749,43.278,40.425,41.188,43.177
113.77,137.92,158.33,137.92,115.84,40.853,40.903,42.032,40.903,41.438
114.83,143,155.63,143,114.83,42.273,39.503,42.274,39.503,42.273
118.23,134.53,159.37,170.21,103.95,41.306,41.133,39.392,38.792,43.27
112.9,138.86,158,140.07,112.23,43.702,44.867,40.07,43.082,39.242
116.11,149.02,160.04,147.18,113.43,41.8,40.708,39.246,41.104,41.554
123.24,147.84,167.32,151.82,118.24,40.03,39.899,39.44,38.97,41.303
118.23,138.67,162.04,143.08,115.6,41.308,40.221,40.658,39.207,41.92
116.64,142.51,163.01,138.08,118.24,40.662,42.142,40.224,40.349,41.283
117.13,134.47,156.81,141.99,111.08,41.473,41.155,41.761,45.218,45.006
118.1,131.15,154.07,164.15,111.92,43.324,41.545,40.574,41.464,39.228
115.11,137.71,157.37,137.49,115.62,42.117,42.213,39.838,40.476,41.884
112.1,146.26,154.6,141.62,111.15,39.237,38.884,40.801,44.473,45.006
115.77,148.88,155.11,143.52,112.58,42.113,39.98,40.638,39.407,39.253
108.32,137.99,161.16,137.99,111.83,44.174,40.386,40.831,40.386,39.225
108.34,121.73,150.34,143.63,101.23,43.432,43.589,41.266,41.891,40.891
114.25,142.4,157.85,137.23,112.75,38.64,39.632,40.01,39.799,39.258
115.77,137.8,151.65,129.77,117.32,40.445,42.182,40.053,40.914,40.051
114.26,140.15,160.95,140.15,114.26,40.567,43.717,41.312,43.717,40.567
122.64,154.08,168.13,156.93,114.71,40.448,38.808,40.759,40.261,42.317
118.95,140.29,156.84,134.04,113.14,40.474,40.262,40.369,43.636,40.895
114.69,140.88,154.97,137.99,117.4,42.329,40.024,40.69,39.689,39.616
109.46,156.2,162.01,147.16,107.29,39.658,39.414,40.674,41.112,40.25
